Date,TransitAgency,Location,Type,Amount
"8/7/2026 11:57:33 AM","Toronto Transit Commission","Weston Rd At Knob Hill Dr","Fare Payment","$-2.10"
"8/7/2026 10:54:09 PM","GTAFS Central System","","Epurse Load","$10.00"
"8/7/2026 11:04:50 PM","Toronto Transit Commission","Wilson Ave at Julian Rd West Side - Hum","Fare Payment","$-2.10"
"8/8/2026 2:41:21 PM","Toronto Transit Commission","0","Fare Payment","$-2.10"
"8/8/2026 7:35:42 PM","Toronto Transit Commission","King St West At Shaw St","Fare Payment","$-2.10"
"8/9/2026 9:54:05 AM","Toronto Transit Commission","Weston Rd at St Phillips Rd","Fare Payment","$-2.10"
"8/9/2026 1:07:19 PM","Toronto Transit Commission","East Liberty St At Lynn Williams St","Fare Payment","$-2.10"
"8/9/2026 5:40:36 PM","GTAFS Central System","","Epurse Load","$10.00"
"8/9/2026 6:27:19 PM","Toronto Transit Commission","Queen St East At Jones Ave","Fare Payment","$-2.10"
"8/9/2026 8:35:22 PM","Toronto Transit Commission","EGLINTON STATION","Fare Payment","$-2.10"
"8/10/2026 11:55:33 AM","GO Transit","Weston GO Station Rail","Tap Off Automatic","$-11.23"
"8/10/2026 6:06:37 PM","GO Transit","","Epurse Load","$10.17"
"8/10/2026 6:29:40 PM","GTAFS Central System","","Epurse Load","$10.00"
"8/10/2026 6:30:33 PM","GO Transit","Union Station Rail","Fare Payment","$-3.70"
"8/10/2026 6:50:57 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$-0.17"
"8/11/2026 6:52:12 PM","Toronto Transit Commission","Weston Rd At Bradstock Rd","Fare Payment","$-2.10"
"8/12/2026 9:11:05 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"8/12/2026 9:26:02 AM","GTAFS Central System","","Epurse Load","$10.00"
"8/12/2026 9:56:58 AM","GO Transit","Exhibition GO Station Rail","Fare Payment","$-1.06"
"8/13/2026 2:41:58 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"8/14/2026 12:48:14 AM","Toronto Transit Commission","Liberty St At Atlantic Ave","Fare Payment","$-2.10"
"8/17/2026 2:19:50 PM","Toronto Transit Commission","Lawrence Ave West at Weston Rd East Sid","Fare Payment","$-2.10"
"8/17/2026 8:16:52 PM","Toronto Transit Commission","MOUNT PLEASANT","Fare Payment","$-2.10"
"8/18/2026 6:20:46 AM","GTAFS Central System","","Epurse Load","$9.01"
"8/18/2026 8:57:49 AM","Toronto Transit Commission","Weston Rd At Knob Hill Dr","Fare Payment","$-2.10"
